"Player 1","Player 2","Result","Moves","Year","Opening"
"Markus Ragger                                                          (2687)","Hikaru Nakamura                                                          (2746)","0-1",32,2018,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation"
"Viswanathan Anand                                                          (2759)","Hikaru Nakamura                                                          (2769)","0-1",36,2018,"1. e4 d6 2. d4 g6 3. Nc3 Bg7                                                                                                                Modern Defense with 1.e4: 2.d4 d6 3.Nc3"
"Magnus Carlsen                                                          (2843)","Hikaru Nakamura                                                          (2781)","1-0",6,2018,"1. a4 e6 2. a5 a6 3. e4 Nf6                                                                                                                Ware Opening"
"Levon Aronian                                                          (2764)","Hikaru Nakamura                                                          (2769)","0-1",41,2018,"1. c4 Nf6 2. Nc3 e6 3. e4 d5                                                                                                                English Opening: Mikėnas-Carls Variation, 3...d5 4.cxd5"
"Boris Savchenko                                                          (2562)","Hikaru Nakamura                                                          (2746)","½-½",121,2018,"1. e4 c6 2. d4 d5 3. Nc3 dxe4                                                                                                                Caro-Kann Defense: Tartakower Variation, 6.c3"
"Ruotong Chu                                                          (2267)","Hikaru Nakamura                                                          (2781)","0-1",38,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Hungarian Attack"
"Fabiano Caruana                                                          (2822)","Hikaru Nakamura                                                          (2769)","½-½",57,2018,"1. e4 e5 2. Bc4 Nc6 3. d3 Nf6                                                                                                                Bishop's Opening"
"Levon Aronian                                                          (2767)","Hikaru Nakamura                                                          (2777)","0-1",59,2018,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: Giuoco Pianissimo Variation, 4...Nf6"
"Maxime Vachier-Lagrave                                                          (2789)","Hikaru Nakamura                                                          (2769)","½-½",82,2018,"1. Nf3 d5 2. g3 Nf6 3. Bg2 e6                                                                                                                King's Indian Attack: Yugoslav Variation, 3.Bg2 e6"
"Melikset Khachiyan                                                          (2522)","Hikaru Nakamura                                                          (2781)","0-1",47,2018,"1. e4 c6 2. d4 d5 3. Nc3 dxe4                                                                                                                Caro-Kann Defense: Classical Variation, 5.Ng3 Bg6 6.h4 h6 7.Nf3"
"Hrvoje Stevic                                                          (2579)","Hikaru Nakamura                                                          (2763)","½-½",54,2018,"1. e4 c6 2. d4 d5 3. Nc3 dxe4                                                                                                                Caro-Kann Defense: Classical Variation, 5.Ng3 Bg6 6.Nf3"
"Levon Aronian                                                          (2797)","Hikaru Nakamura                                                          (2781)","½-½",30,2018,"1. d4 d6 2. e4 g6 3. Nf3 Nf6                                                                                                                Pirc Defense: 2.d4"
"Shakhriyar Mamedyarov                                                          (2809)","Hikaru Nakamura                                                          (2787)","½-½",101,2018,"1. Nf3 d5 2. d4 Nf6 3. Bf4 c5                                                                                                                Queen's Pawn Opening: Zukertort Variation"
"Daniil Dubov                                                          (2701)","Hikaru Nakamura                                                          (2787)","1-0",36,2018,"1. c4 Nf6 2. Nc3 e6 3. e4 d5                                                                                                                English Opening: Mikėnas-Carls, Flohr Variation, 4...d4 5.exf6 dxc3 6.bxc3 Qxf6 7.d4 e5"
"Wesley So                                                          (2765)","Hikaru Nakamura                                                          (2746)","½-½",23,2018,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, Rio Gambit Accepted, 5.Re1 Nd6 6.Nxe5"
"Levon Aronian                                                          (2764)","Hikaru Nakamura                                                          (2769)","1-0",71,2018,"1. c4 Nf6 2. Nf3 e6 3. g3 d5                                                                                                                English Opening: Neo-Catalan Defense"
"Wesley So                                                          (2778)","Hikaru Nakamura                                                          (2769)","½-½",18,2018,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Hikaru Nakamura                                                          (2763)","Santosh Gujrathi Vidit                                                          (2711)","½-½",35,2018,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Hikaru Nakamura                                                          (2769)","Wesley So                                                          (2778)","1-0",64,2018,"1. Nf3 Nf6 2. b3 g6 3. Bb2 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2 Bg7"
"Hikaru Nakamura                                                          (2763)","Gawain C B Jones                                                          (2677)","1-0",57,2018,"1. Nf3 Nf6 2. b3 d6 3. Bb2 e5                                                                                                                Réti Opening: Nimzo-Larsen Variation"
"Hikaru Nakamura                                                          (2769)","Maxime Vachier-Lagrave                                                          (2789)","½-½",34,2018,"1. e4 c5 2. Nf3 d6 3. Nc3 Nf6                                                                                                                Sicilian Defense: 2.Nf3 d6"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",23,2018,"1. d4 Nf6 2. c4 b6 3. f3 d6                                                                                                                Indian Game: Accelerated Variation"
"Hikaru Nakamura                                                          (2777)","Sergey Karjakin                                                          (2773)","0-1",77,2018,"1. Nf3 Nf6 2. b3 d5 3. Bb2 e6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6"
"Hikaru Nakamura                                                          (2769)","Shakhriyar Mamedyarov                                                          (2808)","0-1",57,2018,"1. Nf3 Nf6 2. b3 g6 3. Bb2 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2 Bg7"
"Hikaru Nakamura                                                          (2763)","Le Quang Liem                                                          (2715)","½-½",51,2018,"1. Nf3 g6 2. e4 c5 3. c3 d5                                                                                                                Réti Opening: Kingside Fianchetto Variation"
"Hikaru Nakamura                                                          (2769)","Viswanathan Anand                                                          (2760)","½-½",39,2018,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",30,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2781)","Richard Rapport                                                          (2700)","½-½",33,2018,"1. Nf3 Nf6 2. g3 b6 3. Bg2 Bb7                                                                                                                Réti Opening: King's Indian Attack"
"Hikaru Nakamura                                                          (2763)","Le Quang Liem                                                          (2715)","½-½",40,2018,"1. Nf3 Nf6 2. b3 d5 3. Bb2 c5                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",26,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","½-½",41,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","0-1",35,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2746)","Maxime Vachier-Lagrave                                                          (2781)","½-½",41,2018,"1. Nf3 c5 2. c4 Nf6 3. Nc3 d5                                                                                                                English Opening: Symmetrical Variation, 2.Nf3"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",64,2018,"1. Nf3 d5 2. b3 Nf6 3. Bb2 g6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6 3.Bb2"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",27,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2746)","Levon Aronian                                                          (2765)","½-½",47,2018,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, Rio Gambit Accepted, 5.Re1 Nd6 6.Nxe5"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",45,2018,"1. d4 g6 2. c4 Bg7 3. Nc3 d6                                                                                                                Modern Defense: 3.Nc3 Bg7"
"Hikaru Nakamura                                                          (2763)","Eduardo Iturrizaga Bonelli                                                          (2636)","½-½",35,2018,"1. Nf3 c5 2. e4 g6 3. c3 Nf6                                                                                                                Sicilian Defense: 2.Nf3"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",84,2018,"1. Nf3 Nf6 2. e3 d5 3. Be2 e6                                                                                                                Réti Opening: Quiet System"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","0-1",23,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2763)","Aleksandr Shimanov                                                          (2626)","1-0",54,2018,"1. Nf3 d5 2. b3 Bg4 3. Bb2 Nd7                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Bg4 3.Bb2 Nd7"
"Hikaru Nakamura                                                          (2763)","Santosh Gujrathi Vidit                                                          (2711)","1-0",66,2018,"1. Nf3 d5 2. b3 Bg4 3. Bb2 Bxf3                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Bg4 3.Bb2"
"Hikaru Nakamura                                                          (2777)","Fabiano Caruana                                                          (2822)","½-½",29,2018,"1. Nf3 d5 2. b3 Bg4 3. Bb2 e6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Bg4 3.Bb2"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","½-½",93,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2763)","Le Quang Liem                                                          (2715)","½-½",51,2018,"1. Nf3 g6 2. e4 c5 3. c3 d5                                                                                                                Réti Opening: Kingside Fianchetto Variation"
"Hikaru Nakamura                                                          (2769)","Shakhriyar Mamedyarov                                                          (2808)","0-1",57,2018,"1. Nf3 Nf6 2. b3 g6 3. Bb2 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2 Bg7"
"Hikaru Nakamura                                                          (2769)","Sergey Karjakin                                                          (2782)","½-½",48,2018,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Hikaru Nakamura                                                          (2769)","Wesley So                                                          (2778)","½-½",42,2018,"1. Nf3 d5 2. b3 Bf5 3. Bb2 e6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack"
"Hikaru Nakamura                                                          (2769)","Vladimir Kramnik                                                          (2792)","1-0",19,2018,"1. Nf3 Nf6 2. b3 d5 3. Bb2 e6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6"
"Hikaru Nakamura                                                          (2746)","Anton Korobov                                                          (2698)","0-1",28,2018,"1. Nf3 d5 2. b3 c5 3. Bb2 f6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...c5"
"Hikaru Nakamura                                                          (2763)","Tamir Nabaty                                                          (2692)","½-½",37,2018,"1. c4 e6 2. g3 d5 3. Bg2 dxc4                                                                                                                English Opening: Agincourt Defense, 2.g3 d5 3.Bg2"
"Hikaru Nakamura                                                          (2746)","Bassem Amin                                                          (2710)","1-0",27,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 Bg7                                                                                                                King's Indian Defense: Makogonov Variation, 5...O-O 6.Be3"
"Hikaru Nakamura                                                          (2781)","Andrey Ostrovskiy                                                          (2448)","1-0",41,2018,"1. d4 Nf6 2. Bg5 Ne4 3. Bf4 d5                                                                                                                Trompowsky Attack: 2...Ne4 3.Bf4"
"Hikaru Nakamura                                                          (2769)","Levon Aronian                                                          (2764)","½-½",35,2018,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Closed, Martinez Variation, 6...b5 7.Bb3"
"Hikaru Nakamura                                                          (2781)","David W L Howell                                                          (2682)","½-½",32,2018,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4                                                                                                                Scotch Game: 3...exd4 4.Nxd4 Qf6"
"Hikaru Nakamura                                                          (2746)","David Paravyan                                                          (2634)","1-0",43,2018,"1. Nf3 Nf6 2. b3 d5 3. Bb2 c5                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6"
"Hikaru Nakamura                                                          (2746)","Vladislav Kovalev                                                          (2683)","1-0",51,2018,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",55,2018,"1. b3 e5 2. Bb2 Nc6 3. e3 g6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation, 2.Bb2 Nc6 3.e3"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",36,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",60,2018,"1. b3 e5 2. Bb2 Nc6 3. e3 Nf6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation, 2.Bb2 Nc6 3.e3"
"Hikaru Nakamura                                                          (2777)","Sergey Karjakin                                                          (2773)","0-1",77,2018,"1. Nf3 Nf6 2. b3 d5 3. Bb2 e6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","0-1",52,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",33,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",45,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2787)","Peter Svidler                                                          (2760)","½-½",37,2018,"1. d4 Nf6 2. Bf4 e6 3. e3 d5                                                                                                                Indian Game"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","1-0",16,2018,"1. b3 a5 2. Bb2 a4 3. e3 e6                                                                                                                Nimzowitsch-Larsen Attack"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","1-0",22,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","0-1",40,2018,"1. e4 c6 2. Nc3 d5 3. Nf3 Bg4                                                                                                                Caro-Kann Defense: Two Knights, Mindeno, Exchange Line, 5.Qxf3 e6 6.d3 Nf6"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","0-1",35,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","0-1",35,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","½-½",93,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2769)","Maxime Vachier-Lagrave                                                          (2789)","½-½",34,2018,"1. e4 c5 2. Nf3 d6 3. Nc3 Nf6                                                                                                                Sicilian Defense: 2.Nf3 d6"
"Hikaru Nakamura                                                          (2746)","Surya Shekhar Ganguly                                                          (2615)","1-0",52,2018,"1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6                                                                                                                English Opening: Four Knights Variation"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",73,2018,"1. b3 e5 2. Bb2 Nc6 3. e3 Nf6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation, 2.Bb2 Nc6 3.e3"
"Hikaru Nakamura                                                          (2746)","Jan-Krzysztof Duda                                                          (2738)","½-½",82,2018,"1. Nf3 Nf6 2. b3 b6 3. Bb2 Bb7                                                                                                                Réti Opening: Nimzo-Larsen Variation"
"Hikaru Nakamura                                                          (2781)","Nils Grandelius                                                          (2647)","1-0",36,2018,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Scheveningen Variation, 6.Be3 a6"
"Hikaru Nakamura                                                          (2787)","Dmitry Andreikin                                                          (2712)","1-0",45,2018,"1. b3 e5 2. Bb2 Nc6 3. e3 g6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation, 2.Bb2 Nc6 3.e3"
"Hikaru Nakamura                                                          (2746)","Vladislav Artemiev                                                          (2709)","1-0",30,2018,"1. c4 e5 2. Nc3 Bb4 3. Nd5 Bc5                                                                                                                English Opening: Reversed Sicilian, Kramnik-Shirov Counterattack"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","½-½",79,2018,"1. b3 Nf6 2. Bb2 g6 3. e3 Bg7                                                                                                                Nimzowitsch-Larsen Attack: Indian Variation, 2.Bb2 g6"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","0-1",36,2018,"1. d4 d5 2. c4 c6 3. Nf3 Nf6                                                                                                                Slav Defense: Modern, Quiet Variation, 4...a6"
"Hikaru Nakamura                                                          (2777)","Viswanathan Anand                                                          (2768)","½-½",29,2018,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Hikaru Nakamura                                                          (2781)","Eric Hansen                                                          (2629)","1-0",49,2018,"1. Nf3 g6 2. e4 d6 3. d4 Nf6                                                                                                                Réti Opening: Kingside Fianchetto Variation"
"Hikaru Nakamura                                                          (2781)","Eduardo Iturrizaga Bonelli                                                          (2650)","1-0",27,2018,"1. Nf3 c5 2. e4 g6 3. g3 Bg7                                                                                                                Sicilian Defense: 2.Nf3"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","0-1",70,2018,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4                                                                                                                Scotch Game: Malaniuk Variation"
"Hikaru Nakamura                                                          (2769)","Alexander Grischuk                                                          (2766)","1-0",42,2018,"1. e4 c5 2. Nc3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Closed, 2...d6"
"Hikaru Nakamura                                                          (2781)","Awonder Liang                                                          (2572)","0-1",54,2018,"1. Nf3 Nf6 2. b3 g6 3. Bb2 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2 Bg7"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","0-1",66,2018,"1. b3 Nf6 2. Bb2 g6 3. Nf3 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2"
"Hikaru Nakamura                                                          (2781)","Aleksandr Shimanov                                                          (2641)","1-0",53,2018,"1. Nf3 Nf6 2. d4 d5 3. Bf4 c5                                                                                                                Indian Game: Knights Variation"
"Hikaru Nakamura                                                          (2777)","Sergey Karjakin                                                          (2773)","½-½",42,2018,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Hikaru Nakamura                                                          (2777)","Leinier Dominguez Perez                                                          (2739)","1-0",48,2018,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, Rio Gambit Accepted, 5.Re1 Nd6 6.Nxe5"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","½-½",65,2018,"1. b3 Nf6 2. Bb2 g6 3. Nf3 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2"
"Hikaru Nakamura                                                          (2777)","Maxime Vachier-Lagrave                                                          (2779)","½-½",37,2018,"1. d4 e6 2. c4 d5 3. Nc3 Be7                                                                                                                Queen's Gambit Declined"
"Hikaru Nakamura                                                          (2769)","Sergey Karjakin                                                          (2782)","1-0",41,2018,"1. c4 Nf6 2. Nc3 e5 3. Nf3 Nc6                                                                                                                English Opening: Two Knights Variation"
"Hikaru Nakamura                                                          (2746)","Grigoriy Oparin                                                          (2613)","1-0",47,2018,"1. Nf3 Nf6 2. b3 b6 3. Bb2 Bb7                                                                                                                Réti Opening: Nimzo-Larsen Variation"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","½-½",40,2018,"1. b3 e5 2. Bb2 d6 3. e3 g6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation, 2.Bb2 d6"
"Hikaru Nakamura                                                          (2769)","Anish Giri                                                          (2782)","1-0",23,2018,"1. Nf3 Nf6 2. b3 g6 3. Bb2 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2 Bg7"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","½-½",94,2018,"1. e4 c5 2. Nc3 Nc6 3. Nf3 g6                                                                                                                Sicilian Defense: Closed, Traditional Line, 3.Nf3"
"Hikaru Nakamura                                                          (2787)","Alexander Grischuk                                                          (2767)","1-0",40,2018,"1. Nf3 Nf6 2. b3 d5 3. Bb2 Bf5                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6"
"Hikaru Nakamura                                                          (2787)","Jeffery Xiong                                                          (2665)","½-½",31,2018,"1. e4 e5 2. Nc3 Nf6 3. g3 d5                                                                                                                Vienna Game: Falkbeer, Mieses Variation, 3...d5 4.exd5 Nxd5 5.Bg2 Nxc3 6.bxc3"
"Hikaru Nakamura                                                          (2786)","Magnus Carlsen                                                          (2832)","0-1",48,2018,"1. d4 d5 2. Nf3 c6 3. c4 Nf6                                                                                                                Slav Defense: Modern Line"
"Hikaru Nakamura                                                          (2769)","Maxime Vachier-Lagrave                                                          (2789)","½-½",40,2018,"1. Nf3 c5 2. e4 d6 3. Nc3 Nf6                                                                                                                Sicilian Defense: 2.Nf3"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",65,2018,"1. b3 e5 2. Bb2 d6 3. e3 g6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation, 2.Bb2 d6"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",73,2018,"1. b3 e5 2. Bb2 Nc6 3. e3 Nf6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation, 2.Bb2 Nc6 3.e3"
"Hikaru Nakamura                                                          (2746)","Ahmed Adly                                                          (2626)","0-1",60,2018,"1. e4 c5 2. Nf3 Nf6 3. e5 Nd5                                                                                                                Sicilian Defense: Nimzowitsch, Advance, Exchange Variation"
"Hikaru Nakamura                                                          (2746)","Nihal Sarin                                                          (2576)","1-0",53,2018,"1. Nf3 Nf6 2. e3 e6 3. c4 d5                                                                                                                Réti Opening: Quiet System"
"Hikaru Nakamura                                                          (2787)","Vladimir Kramnik                                                          (2800)","1-0",70,2018,"1. b3 d5 2. Bb2 Nf6 3. Nf3 Bg4                                                                                                                Nimzowitsch-Larsen Attack: Classical Variation, 2.Bb2"
"Hikaru Nakamura                                                          (2781)","Maxime Vachier-Lagrave                                                          (2793)","½-½",65,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2781)","Maxime Vachier-Lagrave                                                          (2793)","½-½",55,2018,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation, 5.e4 Nxc3 6.bxc3 Bg7"
"Hikaru Nakamura                                                          (2769)","Maxime Vachier-Lagrave                                                          (2789)","½-½",41,2018,"1. e4 c5 2. Nc3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Closed, 2...d6"
"Hikaru Nakamura                                                          (2777)","Shakhriyar Mamedyarov                                                          (2801)","½-½",52,2018,"1. d4 d5 2. c4 e6 3. Nf3 c5                                                                                                                Queen's Gambit Declined: Pseudo-Tarrasch Defense, 4.cxd5 exd5"
"Hikaru Nakamura                                                          (2769)","Fabiano Caruana                                                          (2816)","0-1",54,2018,"1. Nf3 d5 2. b3 Nf6 3. Bb2 g6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6 3.Bb2"
"Hikaru Nakamura                                                          (2746)","Ivan Bocharov                                                          (2563)","1-0",60,2018,"1. d4 d5 2. c4 c6 3. Nf3 Nf6                                                                                                                Slav Defense: Modern, Quiet, Schallopp Defense, 5.Nc3"
"Hikaru Nakamura                                                          (2777)","Viswanathan Anand                                                          (2768)","½-½",60,2018,"1. Nf3 d5 2. b3 Nf6 3. Bb2 e6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6 3.Bb2 e6"
"Hikaru Nakamura                                                          (2787)","Varuzhan Akobian                                                          (2647)","1-0",50,2018,"1. e4 e6 2. d4 d5 3. Nc3 Bb4                                                                                                                French Defense: Winawer, Advance, Retreat Variation, Armenian Line, 7.Nb5 Bc7 8.f4 Bd7"
"Hikaru Nakamura                                                          (2769)","Shakhriyar Mamedyarov                                                          (2808)","1-0",38,2018,"1. Nf3 Nf6 2. b3 g6 3. Bb2 Bg7                                                                                                                Réti Opening: Nimzo-Larsen Variation, 2...g6 3.Bb2 Bg7"
"Hikaru Nakamura                                                          (2769)","Viswanathan Anand                                                          (2759)","½-½",32,2018,"1. Nf3 Nf6 2. b3 c5 3. Bb2 Nc6                                                                                                                Réti Opening: Nimzo-Larsen Variation"
"Hikaru Nakamura                                                          (2777)","Hou Yifan                                                          (2658)","1-0",95,2018,"1. b3 d5 2. Bb2 Nf6 3. Nf3 e6                                                                                                                Nimzowitsch-Larsen Attack: Classical Variation, 2.Bb2"
"Hikaru Nakamura                                                          (2746)","Fabiano Caruana                                                          (2832)","½-½",33,2018,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6                                                                                                                Petrov's Defense: Classical, Nimzowitsch Attack"
"Hikaru Nakamura                                                          (2777)","Levon Aronian                                                          (2767)","½-½",68,2018,"1. c4 Nf6 2. Nc3 e5 3. Nf3 Nc6                                                                                                                English Opening: Two Knights Variation"
"Hikaru Nakamura                                                          (2777)","Levon Aronian                                                          (2767)","½-½",68,2018,"1. c4 Nf6 2. Nc3 e5 3. Nf3 Nc6                                                                                                                English Opening: Two Knights Variation"
